target_id	length	eff_length	est_counts	tpm
FBtr0091886	595	374.732	0.4	0.0481038
FBtr0113148	1709	1488.51	0	0
FBtr0331563	1392	1171.51	0	0
FBtr0342927	1419	1198.51	24.8787	0.935459
FBtr0342926	1519	1298.51	842.91	29.2533
FBtr0081191	1302	1081.51	13493.2	562.243
FBtr0072204	1597	1376.51	1974	64.626
FBtr0075037	2782	2561.51	307.683	5.41311
FBtr0332648	3154	2933.51	323.317	4.96686
FBtr0070536	1659	1438.51	1	0.0313276
FBtr0085269	1007	786.514	135	7.73513
FBtr0077243	660	439.611	3074.19	315.14
FBtr0077242	591	370.77	78.803	9.5781
FBtr0345919	951	730.514	0	0
FBtr0072826	3804	3583.51	167.88	2.11121
FBtr0072827	3691	3470.51	78.1197	1.0144
FBtr0073811	919	698.514	0	0
FBtr0078276	1601	1380.51	593	19.3577
FBtr0084336	1211	990.514	5040.04	229.305
FBtr0334605	1505	1284.51	401.957	14.102
FBtr0078281	1396	1175.51	49	1.87849
FBtr0086929	2022	1801.51	0	0
FBtr0346650	1019	798.514	48.3843	2.73063
FBtr0346726	782	561.514	14.6157	1.173
FBtr0333746	673	452.567	0	0
FBtr0085114	1455	1234.51	0	0
FBtr0089243	5576	5355.51	16411.7	138.1
FBtr0289951	5806	5585.51	326.3	2.63266
FBtr0112904	6335	6114.51	1034.95	7.62779
FBtr0339537	2122	1901.51	60.3046	1.42919
FBtr0071843	1592	1371.51	169.444	5.56758
FBtr0346637	1902	1681.51	240.251	6.43882
FBtr0332881	3162	2941.51	29.5399	0.452562
FBtr0072792	3165	2944.51	990.46	15.1588
FBtr0309500	4366	4145.51	7.92867	0.0861911
FBtr0309501	5977	5756.51	0	0
FBtr0070559	5433	5212.51	24.0713	0.20811
FBtr0309499	4055	3834.51	0	0
FBtr0070560	3426	3205.51	0	0
FBtr0309498	4031	3810.51	0	0
FBtr0332492	4953	4732.51	0	0
FBtr0076382	5762	5541.51	991.225	8.06092
FBtr0345031	5857	5636.51	34.7747	0.278031
FBtr0079978	2271	2050.51	6	0.131865
FBtr0082663	614	393.694	1	0.114468
FBtr0300278	1880	1659.51	26	0.706046
FBtr0302436	902	681.514	35.413	2.34168
FBtr0078688	2589	2368.51	40.0271	0.761585
FBtr0305002	1041	820.514	396.657	21.7856
FBtr0305001	975	754.514	15.4659	0.923737
FBtr0078777	1024	803.514	118.787	6.66218
FBtr0078949	1331	1110.51	641.278	26.0233
FBtr0344215	1508	1287.51	29.0964	1.01842
